工单号,生产线,计划产量,实际产量,状态
WO-A-001,A生产线,1000,5000000,正常
WO-B-001,B生产线,800,877,预警
WO-C-001,C生产线,500,510,正常
WO-A-002,A生产线,1200,960,预警
WO-A-003,A生产线,900,630,预警
WO-A-004,A生产线,1100,1080,预警
WO-A-005,A生产线,800,820,预警
WO-A-006,A生产线,1500,1050,预警
WO-A-007,A生产线,700,0,预警
WO-A-008,A生产线,0,910,预警
WO-A-009,A生产线,1300,1170,预警
WO-A-010,A生产线,600,420,预警
WO-B-002,B生产线,1000,990,预警
WO-B-003,B生产线,750,600,预警
WO-B-004,B生产线,880,900,预警
WO-B-005,B生产线,1200,840,预警
WO-B-006,B生产线,640,640,预警
WO-B-007,B生产线,1100,0,预警
WO-B-008,B生产线,920,870,预警
WO-B-009,B生产线,780,620,预警
WO-B-010,B生产线,1050,1020,预警
WO-C-002,C生产线,600,540,正常
WO-C-003,C生产线,450,300,预警
WO-C-004,C生产线,800,820,完成
WO-C-005,C生产线,700,490,预警
WO-C-006,C生产线,550,0,停线
WO-C-007,C生产线,900,870,正常
WO-C-008,C生产线,480,500,完成
WO-C-009,C生产线,650,455,预警
WO-C-010,C生产线,720,700,正常
WO-D-001,D生产线,1000,950,正常
WO-D-002,D生产线,860,688,预警
WO-D-003,D生产线,1200,1260,完成
WO-D-004,D生产线,700,0,停线
WO-D-005,D生产线,980,920,正常
WO-D-006,D生产线,1100,770,预警
WO-D-007,D生产线,540,545,完成
WO-D-008,D生产线,1300,1180,正常
WO-D-009,D生产线,760,532,预警
WO-D-010,D生产线,890,860,正常
WO-E-001,E生产线,1500,1480,正常
WO-E-002,E生产线,800,560,预警
WO-E-003,E生产线,1000,1030,完成
WO-E-004,E生产线,670,0,停线
WO-E-005,E生产线,920,880,正常
WO-E-006,E生产线,1400,980,预警
WO-E-007,E生产线,580,590,完成
WO-E-008,E生产线,1250,1190,正常
WO-E-009,E生产线,740,518,预警
